aaa	工
agny	戈 工于心计 瓨 䛒
ayi	弋
agn	七 匸
aad	式 匞
aak	戒
aaaa	恭恭敬敬 花花草草 㠭
aaab	㐂
aaae	黄花菜
aaaf	某某某
aaah	葡萄牙
aaal	花花世界
aaan	工艺
aaar	工匠
aaau	工薪 菚
aaay	劳苦功高
aabb	式子
aabg	草草了事
aabi	芙蓉出水
aabu	茕茕孑立
aabw	戒除
aadk	匿
aadc	工友
aadg	工厂
aadj	䘌
aadn	慝
aado	工矿
aadq	落荒而逃
aadr	茙
aadw	工期
aady	落落大方
aaeb	花花肠子
aaen	落花有意，流水无情 工力
aaet	节节胜利
aaeu	落花有意
aaff	苷 蓬蓬勃勃
aafd	甙
aafg	葡萄干
aafh	苏东坡
aafw	工夫
aaga	甘苦与共
aagf	工于 䒰
aagk	工事
aago	戒严
aagx	戒毒
aagy	七七事变
aaht	芽
aahb	工龄 䓉
aahc	菣
aahh	工卡 茝 茞
aahl	藍
aahm	藖 虦
aahw	工具
aahy	蕥
aaib	莘莘学子
aaie	卧薪尝胆
aaig	区区小事
aaii	落花流水
aaip	工党 工学
aais	葡萄酒 戒酒
aaiw	恭敬不如从命
aaiy	牙牙学语
aajf	工时
aajh	蒸蒸日上 剗
aajt	工蜂
aajy	工蚁
aakg	工号 蓳
aakk	工艺品 蓲
aakm	䕚
aako	蘜 䕿 䖄
aaky	䕼
aalf	盞
aamf	蘳
aamg	蘣
aamu	䔈
aamv	节节败退 蒆
aamy	茿
aanf	苣
aans	葉
aany	戒心 戒尺
aaoc	工序
aaog	工业
aaol	戒烟
aaoo	葡萄糖
aaou	工料
aape	工农
aapj	敬若神明
aapn	菠萝蜜
aapp	切切实实
aapw	落落寡合
aaqb	苉
aaqd	茫茫然
aaqg	工钱
aaqh	蔕
aaqk	匿名
aaqm	葫芦岛
aaqy	工贸
aarg	工兵
aarh	戒掉
aarr	熙熙攘攘
aarx	戒指
aase	工棚
aasg	工本 苦苦相逼
aask	工整
aass	花草树木 工工整整
aast	东藏西躲
aasu	式样
aasx	工楷
aatq	荛
aate	工笔
aatg	工行
aati	蓬荜生辉
aatk	工程 工种
aatl	戒备
aatm	式微
aatn	蘙
aats	戒条
aatu	工科
aatv	戒律
aau	戔 芅
aauc	戒疤
aaud	工头
aauf	工装
aauj	工单
aauk	工部
aaum	工商
aauq	工资
aaur	工效
aauv	黄花闺女
aavn	戒刀
aavr	苆
aavv	勤勤恳恳
aawb	花花公子
aawd	工段
aawe	匶
aawf	工会
aawg	七荤八素
aawh	工件
aawi	勤工俭学 茫茫人海
aawn	劳燕分飞
aawt	工作 工伤 芸芸众生
aawu	工位 茹苦含辛 荗
aaww	草菅人命 七七八八 莁
aaxf	蒙蒙细雨
aaxx	花花绿绿 落英缤纷
aayf	工读
aayn	工房
aayo	匿迹
aayp	花落谁家
abj	节
abut	萨
abab	节节
abag	若隐若现
abai	荫蔽
abaq	菡萏
abat	荫翳
abce	节能
abci	藂
abcl	萾
abcu	菆
abde	䔺
abdt	英联邦
abdw	节奏
abef	荫
aben	蘟 㲨
abeq	节选
abet	茸毛
abeu	蒸腾
abf	茸 芓
abfc	节支
abft	蒸煮 䔖
abh	邛 卭
abhg	匩
abhh	节目
abhk	节点
abhm	节制
abio	蒸
abia	萨满
abib	菡
abig	䒱
abii	节水
abil	䕄
abim	节油
abir	蒸汽
abit	节省
abiu	荪
abiy	节流
abjj	节日
abjn	节电
abkg	䓧
abkm	藬
ablf	䓝
abmj	茁
abmc	䔴
abmf	䔜
abnb	芤
abnh	蒸蛋
abnt	蒸发
abod	节庆
abof	蒸烤
abox	荫庇
abqk	蒸锅
abqn	蒸馏 蒸饺
abr	艿
abrg	节后
abrj	㧭
abrk	节操
abrn	节气 蒸气
abrr	节拍
abry	菰
absg	节本
absj	蔯
abtd	蒸笼
abtg	蕯
abti	蓀
abtp	䕖
abtv	节律
abud	节减
abue	节前 䔹
