item,weight,code
父,0.00046128459977400245,aa
夜,0.0004623349997734878,ab
哈,0.00046331849977300596,ac
嘎,1.760184999137631e-05,ada
妾,1.7616079991369338e-05,adb
衍,1.7618189991368303e-05,adc
钩,1.7621869991366504e-05,add
姊,1.7628189991363406e-05,ade
伞,1.765926999134818e-05,adf
淌,1.7682979991336562e-05,adg
醋,1.7689299991333464e-05,adh
胀,1.7742509991307398e-05,adi
禄,1.7754619991301462e-05,adj
蒸,1.775988999129888e-05,adk
蔓,1.7833639991262748e-05,adl
芦,1.786418999124778e-05,adm
侣,1.7875249991242365e-05,adn
峡,1.787788999124107e-05,ado
狈,1.7883679991238232e-05,adp
暇,1.7900009991230233e-05,adq
杭,1.7927929991216553e-05,adr
倘,1.793319999121397e-05,ads
滞,1.7936889991212162e-05,adt
栈,1.7938989991211137e-05,adu
寓,1.7942159991209583e-05,adv
臉,6.827099996655194e-07,adwa
脍,6.827099996655194e-07,adwb
椤,6.832299996652645e-07,adwc
俚,6.848199996644855e-07,adwd
硌,6.848199996644855e-07,adwe
燏,6.890299996624229e-07,adwf
亓,6.895599996621632e-07,adwg
铩,6.895599996621632e-07,adwh
嫪,6.895599996621632e-07,adwi
噱,6.895599996621632e-07,adwj
艚,2.633999998709522e-08,adwka
腘,2.633999998709522e-08,adwkb
浥,2.633999998709522e-08,adwkc
爐,2.633999998709522e-08,adwkd
懶,2.633999998709522e-08,adwke
皺,2.633999998709522e-08,adwkf
紖,2.633999998709522e-08,adwkg
虧,2.633999998709522e-08,adwkh
奓,2.633999998709522e-08,adwki
兗,2.633999998709522e-08,adwkj
湯,2.633999998709522e-08,adwkk
夼,2.633999998709522e-08,adwkl
缋,2.633999998709522e-08,adwkm
晧,2.633999998709522e-08,adwkn
筯,2.633999998709522e-08,adwko
鼗,2.633999998709522e-08,adwkp
駛,2.633999998709522e-08,adwkq
姪,2.6869999986835558e-08,adwkr
苄,2.6869999986835558e-08,adwks
襬,2.6869999986835558e-08,adwkt
賤,2.6869999986835558e-08,adwku
琯,2.6869999986835558e-08,adwkv
扢,2.6869999986835558e-08,adwkw
誦,2.6869999986835558e-08,adwkx
崒,2.6869999986835558e-08,adwky
憞,2.6869999986835558e-08,adwkz
韪,6.927199996606152e-07,adwl
見,6.932399996603603e-07,adwm
卻,6.932399996603603e-07,adwn
鳝,6.932399996603603e-07,adwo
誊,6.942999996598411e-07,adwp
咩,6.942999996598411e-07,adwq
肊,6.95879999659067e-07,adwr
裡,6.979799996580381e-07,adws
莅,6.985099996577784e-07,adwt
懔,6.985099996577784e-07,adwu
濯,6.990399996575187e-07,adwv
嬅,6.995599996572639e-07,adww
悌,7.006199996567447e-07,adwx
鼹,7.01149999656485e-07,adwy
戡,7.01149999656485e-07,adwz
煤,1.801747999117268e-05,adx
婶,1.802959999116674e-05,ady
碑,1.8047509991157966e-05,adz
石,0.0004665060497714443,ae
根,0.00046675784977132095,af
员,0.0004673430997710342,ag
夫,0.0004691014997701727,ah
暗,0.0004694043997700243,ai
或,0.0004724102097685517,aj
交,0.0004732693897681307,ak
忙,0.0004735886197679743,al
即,0.00047415595976769634,am
切,0.00047441460976756965,an
帮,0.000474962989767301,ao
民,0.0004755234797670264,ap
晚,0.0004764901197665528,aq
字,0.0004775874097660152,ar
蹈,1.8092289991136026e-05,asa
阮,1.8101769991131383e-05,asb
窄,1.8119679991122607e-05,asc
萌,1.8125479991119767e-05,asd
邵,1.812863999111822e-05,ase
坎,1.8157609991104024e-05,asf
珑,1.82050199910808e-05,asg
禀,1.8211869991077445e-05,ash
磕,1.8255059991056282e-05,asi
秃,1.8311959991028404e-05,asj
傍,1.8358309991005697e-05,ask
汁,1.8396769990986856e-05,asl
嚎,1.8399929990985308e-05,asm
栽,1.840044999098505e-05,asn
荐,1.8416259990977306e-05,aso
峻,1.843890999096621e-05,asp
镫,7.021999996559706e-07,asqa
俦,7.027299996557109e-07,asqb
猢,7.027299996557109e-07,asqc
