aaaa	工
aadk	匿
aadn	葚 慝
aadw	萁
aaff	苷
aaht	芽
aahh	茝
aak	戒
aanf	苣
aaqb	苉
aatq	荛
aayi	式
abj	节
abef	荫
abf	茸
abh	邛
abio	蒸
abib	菡
abiu	荪
abmj	茁
abnb	芤
abr	艿
abry	菰
abut	萨
abv	匜
abyu	芨
acb	芭
acaf	茎
ackf	苔
acnt	茅
acnm	蓣
adwu	其
adbb	苊
adcw	蕻
ade	戎
adef	葫
ader	苈
adf	苦
adff	蓐
adfi	萘
adgy	葳 葴
adhb	荐
adhd	葜
adhf	茬
adhg	苤
adhu	芣
adij	藉
adiy	藕
adkf	若
adkb	鄀
adkn	惹
admy	项 蒇
adny	藏
adpu	荙
adsk	䓫
aduw	蕨
adwf	基 斟
adwa	戡
adwe	期 勘
adwi	綦
adwn	甚 惎
adwr	斯
adwt	蓁
adww	欺
adxy	茂 茏
adya	莽
aet	功
aebc	菔
aebf	莩
aeee	荔
aeej	蒯
aegf	苴
aekf	茄
aerq	藐
aesu	菜
aety	散
aeui	藤
aevf	荽
aewu	苏 萸
aftj	著 蓍
afbh	邯
afcu	芸 芰
afd	甘
afdj	薷
aff	芏
afff	葑
afii	蒜
afkf	薹
afkp	薳
aflf	蕾
afmy	贰
afmf	萳
afnh	苇
afpb	荸
afqb	芜 芫
afqw	莰
afsu	某
aftx	荖
afuk	蔷
afwu	芙
afwo	爇
afwt	菱
afwy	藿
agn	七
agaj	荆
agd	匡
agey	莆
agef	菁
ageg	蕤
agfj	芋
aghg	廿
agho	蔫
agjn	蕙
agjg	荁
agkg	𬟁
agkw	蔌
agmh	芾
agmj	莿
agmm	颟
agmw	𬜯
agnn	巧
agny	戈
agou	莱
agqa	葬
agqg	薤
agsu	茉
aguf	苹
agud	荚
agvv	萋
agxw	荑
ahte	牙
ahap	蘧
ahdd	菲 匪
ahf	芷 苜
ahgc	菽
ahhm	𬞟
ahjf	䓬
ahko	熙
ahkf	苫
ahkm	颐 赜
ahnh	卧 臣
ahtb	邪
ahtg	鸦
ahtk	𬌗
ahtp	迓
ahty	雅
ahxb	茈
aii	东
aiaf	茳
aias	蕖
aibb	范
aieg	菹
aigf	薄 萍
aigy	蒲
aihc	菠
aiit	莎
aijl	蕰
aiks	藻
ainr	荡
aiqg	鸫
aire	蒎
aisk	菏
aisi	薸
aitk	落
aitl	藩
aiu	汞
aiyn	茫
aiye	蒗
ajh	划
ajbc	蕞
ajdu	莫
ajdb	鄚
ajde	募
ajdf	墓
ajdg	蓦
ajdh	幕
ajdj	暮
