item,weight,code
的,0.08618331507118816,a
群,0.00014042133033177965,baa
转化,0.00014042133033177965,bab
习惯,0.00014042133033177965,bac
密切,0.00014042133033177965,bad
调节,0.00014042133033177965,bae
法国,0.00014152701009817164,baf
马上,0.00014152701009817164,bag
初,0.00014152701009817164,bah
她们,0.00014152701009817164,bai
处于,0.00014152701009817164,baj
观众,0.0001426326898645636,bak
取,0.0001426326898645636,bal
机会,0.0001426326898645636,bam
收入,0.0001426326898645636,ban
相信,0.00014373836963095553,bao
朝,0.00014373836963095553,bap
有效,0.00014373836963095553,baq
转,0.00014373836963095553,bar
古代,0.00014373836963095553,bas
眼,0.00014373836963095553,bat
三十,0.00014373836963095553,bau
去年,0.00014373836963095553,bav
全面,0.00014373836963095553,baw
敬礼,5.528398831959829e-06,baxa
凑巧,5.528398831959829e-06,baxb
荫,5.528398831959829e-06,baxc
滥,5.528398831959829e-06,baxd
申,5.528398831959829e-06,baxe
遗弃,5.528398831959829e-06,baxf
叙利亚,5.528398831959829e-06,baxg
受害,5.528398831959829e-06,baxh
随时随地,5.528398831959829e-06,baxi
还击,5.528398831959829e-06,baxj
拼搏,5.528398831959829e-06,baxk
商定,5.528398831959829e-06,baxl
鞠躬,5.528398831959829e-06,baxm
某地,5.528398831959829e-06,baxn
小农经济,5.528398831959829e-06,baxo
荒芜,5.528398831959829e-06,baxp
用药,5.528398831959829e-06,baxq
不妙,5.528398831959829e-06,baxr
河北省,5.528398831959829e-06,baxs
得上,5.528398831959829e-06,baxt
毡,5.528398831959829e-06,baxu
自然选择,5.528398831959829e-06,baxv
障碍物,5.528398831959829e-06,baxw
宣誓,5.528398831959829e-06,baxx
剔除,5.528398831959829e-06,baxy
慈祥,5.528398831959829e-06,baxz
千差万别,5.528398831959829e-06,baya
注音,5.528398831959829e-06,bayb
飞奔,5.528398831959829e-06,bayc
不发达国家,5.528398831959829e-06,bayd
高水平,5.528398831959829e-06,baye
笑眯眯,5.528398831959829e-06,bayf
专科,5.528398831959829e-06,bayg
