auui	以
bl	了
cvwu	发
debd	那
ecvx	要
fd	大
gu	一 ㈠ ♳ ㊀ 丆
hkjv	在 黄土
iobu	事 整除
jbe	地
kglu	是 鶗
ls	上 ʪ ㊤
mgov	同 同路 㖯
neww	国
oku	中 ㊥
pffg	我 箋
qqxx	多 多多益善 风风火火 風風火火 㷇
rov	和 㕿
skir	得
tbe	他
uswb	的
ve	儿
wgs	家
xtzd	道 单身汉 脊梁
yzdw	这
zcl	为 氻
aagx	出来
blqs	了解
cvaa	发出
diyu	对方
ecga	要求
fdwg	大家 大赛 巨富 大病 大廈 大賽 堅定 腎病
guuk	一个 一个个
hkjw	在下
ipas	才能 三等獎
jbyu	地方 教书育人 教書育人
kggo	是否
lsgx	上来
mgki	同时 同夥
newg	国家
okne	中国
pftz	我们
qqcp	多少
ronm	和尚
skfl	得到
tbtz	他们
uszr	的话
vebz	儿子 釘子
wgtx	家伙
xtek	道理
yzuk	这个
zcbl	为了
aau	出 艸 糾
abuy	幻
acly	幼
admn	盈
aefm	骠
afsi	参
ague	卫
ahtm	骤
aiiv	綝 紅木 紅桃
ajfp	奘
akam	骡
alkm	纑
am	马
an	乃
aovi	台
app	收
aqbm	驺
artm	骄
as	水 ㈬ ㊌ 氺
attm	驳 以身作则
auzm	验
avei	允
awun	及 䲯
axtm	骥 縊
ay	幺
azmm	骗
baae	即
bbkw	书
bcxz	孙
bdp	陂
be	也
bf	飛
dlgg	艮 ☶ ䷳
bhsz	随 隨 䢫
bi	乙 
bjtv	陵
bkv	阳
blav	疏
bm	矛
bnq	阻
bogl	亟
bpov	君 䧊
bqbr	隐
brgz	孤
bsv	阴
btui	飞
bu	乜 彐 乁 乛 亅   㔾
bvfu	降
bwgg	院
bxv	灵 阦
by	予
bz	子
caov	始 㗠
cbz	好
cc	巛
cdij	经
cefj	续 缥
cftj	练
cgfj	线
chei	媒
ci	习
cjoj	结
cktj	细
cl	力
cm	母
cnqj	组
cov	如
cpux	少 娇生惯养 嬌生慣養 䲵
cqdj	绝
cry	妖
cswj	约
ctul	办
cuoj	给
cv	女 ㊛
cwbg	娘
cx	小
cy	羽
czdl	边
daau	屈 鶌
db	巴
dclo	劝
dd	刀
deai	层
dfqs	民
dg	弓
dhfu	展
di	已
dj	己
dkug	引 弔
dlf	屝 ┐ Ƒ ʆ
dmvo	观
dnv	眉
do	又
dp	皮
dqqo	欢
drm	尾
ds	巳
dtwo	难
duow	韐
dv	尸
dwzu	尽
dxeg	弹
dyag	弦
dzdw	違
eace	动
eb	髟
ecug	无 要命 无余 協會
ed	丁
ee	二 ㈡ ♴ ㊁
ef	甫
eg	干
ehv	弄 卉
eiiv	琳
ejsv	瑚
ekee	理
eldg	刊 刊登
em	馬
entu	真 鷏
eovd	可
epiw	珠
eqav	索
eru	表
esv	青 玥
etze	进 酗酒
eu	十 ㈩ ㊉ 
ev	王
ewu	玉 玊
ex	西 覀
ey	酉
ez	長
fado	报
fbuw	成
fc	车
fdb	把
fe	臣
ffg	找
fg	戈
fhdw	拔 戒尺
fi	弋
fjic	持
fkgl	提
fldz	到
fmja	摆
fnbu	挡
fogg	或 接踵而来 歐元
fppz	致
fq	七 ㈦ ♹ ㊆
frwc	势
fs	示
ftif	区
fulc	输
fvkv	指
fw	戊
fxee	拦
fy	牙
fz	至
gawu	求 砐
gb	不
gc	厂
gd	歹
ge	而
gfd	天
ggw	元 矹
ghv	开
giu	于
gjkv	春
gkti	更
glz	正 ㊣ 砋
gm	面
gn	辰
govb	否
gpid	殊 百無禁忌
gqsy	确 春风得意 春風得意
grqd	歼
gs	豕
gttc	雁
gucc	原 不懈努力 厵
gv	石
gw	兀 兀
gxm	来
gy	頁
gzdb	还
hae	节
hbi	艺
hcuq	甚
hdoe	取
he	耳
hfaf	藏
hg	革
hhov	若
hig	左 ㊧
hjvq	基
hkbz	存
hlpm	蓝
hmfd	英
hnrv	菌
hov	右 ㊨
hpjg	董
hq	其
