一 a
于 ad
于 advv
开 ae
型 aeb
干 aed
刊 aek
型 aekb
刑 aekd
刊 aekd
形 aep
形 aepd
开 aevv
末 af
末 afv
末 afvv
无 ag
天 agd
蚕 agi
吞 agj
顶 ago
无 agr
武 ahi
武 ahii
丁 ai
哥 aiaj
下 aid
顶 aigo
正 aii
可 aij
歌 aijr
政 aim
政 aimo
焉 aizu
可 aj
哥 aja
囊 ajer
囊 aji
副 ajk
副 ajkk
融 ajl
融 ajli
歌 ajr
豆 aju
豆 ajua
更 ak
垩 akb
晋 akk
严 akm
更 ako
更 akos
亚 aku
恶 akw
恶 akwz
画 akz
画 akzi
两 al
再 alb
巿 ali
丽 all
丽 alld
鹂 allr
丙 alo
丙 alod
两 aloo
百 an
卅 and
百 ank
夏 anr
夏 anrs
丈 ao
丈 aos
死 ar
残 arh
残 arhm
列 ark
列 arkd
殚 arke
烈 arku
殃 arlg
歼 arm
歼 arme
殊 armk
殡 arpo
殁 arq
殁 arqx
死 arr
殉 arrk
死 arrr
歹 ars
裂 arsr
烈 aru
殡 arw
殆 arz
殆 arzj
平 aua
灭 auo
妻 axz
妻 axzm
万 ay
虿 ayi
万 aym
与 az
与 aza
瓦 azy
瓦 azys
地 b
土 ba
士 baa
赶 bae
坪 bau
坪 baua
考 baz
款 bb
封 bbd
封 bbds
卦 bbi
卦 bbid
垣 bbk
堵 bbm
款 bbr
款 bbro
坛 bbz
坛 bbzs
趣 bcx
二 bd
未 bdko
来 bdkv
井 bdn
井 bdnd
夫 bdod
替 bdok
规 bdol
元 bdrd
寺 bds
颊 bdug
夹 bduo
亏 bdz
互 bdzm
魂 bdzn
专 bdzs
云 bdzs
动 bdzy
填 be
塔 beaj
墙 bejj
填 belo
墙 beu
堪 bez
埔 bfb
项 bg
坯 bga
垮 bgb
垮 bgbz
坏 bgi
项 bgo
越 bh
域 bhj
域 bhja
堰 bhk
堰 bhkz
城 bhv
城 bhy
越 bhz
工 bi
巧 biaz
项 bigo
址 bii
汞 bikv
盐 bil
盐 bilk
攻 bimo
巫 bioo
韬 bipn
恐 biqw
五 bix
吾 bixj
韦 biy
功 biym
